tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010-12-02,63,21,30,80,14,80,O3,SEDANG,DKI3
2010-12-03,68,31,34,82,14,82,O3,SEDANG,DKI3
2010-12-04,74,24,32,46,18,74,PM10,SEDANG,DKI4
2010-12-05,60,15,38,30,8,60,PM10,SEDANG,DKI4
2010-12-06,55,14,24,34,13,55,PM10,SEDANG,DKI4
2010-12-07,54,14,23,30,7,54,PM10,SEDANG,DKI4
2010-12-08,61,14,19,32,9,61,PM10,SEDANG,DKI4
2010-12-09,56,14,23,58,14,58,O3,SEDANG,DKI3
2010-12-10,63,16,23,50,9,63,PM10,SEDANG,DKI4
2010-12-11,54,13,20,38,12,54,PM10,SEDANG,DKI4
2010-12-12,56,13,21,43,15,56,PM10,SEDANG,DKI4
2010-12-13,67,16,22,83,15,83,O3,SEDANG,DKI3
2010-12-14,82,20,32,56,17,82,PM10,SEDANG,DKI4
2010-12-15,58,19,34,119,19,119,O3,TIDAK SEHAT,DKI3
2010-12-16,41,19,27,44,15,44,O3,BAIK,DKI3
2010-12-17,38,20,20,36,9,38,PM10,BAIK,DKI1
2010-12-18,34,15,27,33,11,34,PM10,BAIK,DKI3
2010-12-19,49,13,19,32,10,49,PM10,BAIK,DKI3
2010-12-20,51,17,26,33,11,51,PM10,SEDANG,DKI3
2010-12-21,40,16,27,32,12,40,PM10,BAIK,DKI3
2010-12-22,55,14,34,33,13,55,PM10,SEDANG,DKI4
2010-12-23,59,20,41,38,13,59,PM10,SEDANG,DKI4
2010-12-24,62,19,32,241,23,241,O3,SANGAT TIDAK SEHAT,DKI3
2010-12-25,65,28,27,80,15,80,O3,SEDANG,DKI3
2010-12-26,65,18,23,52,12,65,PM10,SEDANG,DKI3
2010-12-27,38,19,22,54,14,54,O3,SEDANG,DKI3
2010-12-28,45,15,23,57,17,57,O3,SEDANG,DKI4
2010-12-29,42,16,25,40,14,42,PM10,BAIK,DKI3
2010-12-30,38,18,24,40,15,40,O3,BAIK,DKI3
2010-12-31,33,19,21,34,15,34,O3,BAIK,DKI2
2011-01-01,52,17,51,76,7,76,O3,SEDANG,DKI3
2011-01-02,35,15,15,47,11,47,O3,BAIK,DKI1
2011-01-03,41,16,35,31,15,41,PM10,BAIK,DKI1
2011-01-04,53,17,19,77,11,77,O3,SEDANG,DKI3
2011-01-05,59,12,21,61,12,61,O3,SEDANG,DKI3
2011-01-06,57,11,30,94,19,94,O3,SEDANG,DKI3
2011-01-07,57,17,28,67,19,67,O3,SEDANG,DKI3
2011-01-08,70,22,37,69,16,70,PM10,SEDANG,DKI3
2011-01-09,74,20,35,78,18,78,O3,SEDANG,DKI3
2011-01-10,55,19,21,89,13,89,O3,SEDANG,DKI3
2011-01-11,52,18,24,63,12,63,O3,SEDANG,DKI3
2011-01-12,60,20,28,58,15,60,PM10,SEDANG,DKI4
2011-01-13,71,16,28,73,18,73,O3,SEDANG,DKI3
2011-01-14,70,15,24,55,17,70,PM10,SEDANG,DKI3
2011-01-15,90,15,26,58,17,90,PM10,SEDANG,DKI3
2011-01-16,66,13,16,22,8,66,PM10,SEDANG,DKI4
2011-01-17,67,14,20,46,13,67,PM10,SEDANG,DKI4
2011-01-18,80,12,31,48,17,80,PM10,SEDANG,DKI3
2011-01-19,42,13,70,48,16,70,CO,SEDANG,DKI3
2011-01-20,49,16,26,44,16,49,PM10,BAIK,DKI1
2011-01-21,50,13,43,55,21,55,O3,SEDANG,DKI3
2011-01-22,65,16,44,50,23,65,PM10,SEDANG,DKI4
2011-01-23,67,14,59,48,14,67,PM10,SEDANG,DKI4
2011-01-24,63,20,33,44,17,63,PM10,SEDANG,DKI4
2011-01-25,60,23,27,59,19,60,PM10,SEDANG,DKI4
2011-01-26,58,24,26,70,17,70,O3,SEDANG,DKI4
2011-01-27,94,20,26,40,19,94,PM10,SEDANG,DKI3
2011-01-28,68,14,38,37,16,68,PM10,SEDANG,DKI4
2011-01-29,48,14,23,45,12,48,PM10,BAIK,DKI4
2011-01-30,56,16,25,42,13,56,PM10,SEDANG,DKI4
2011-01-31,47,14,22,24,8,47,PM10,BAIK,DKI4
2011-02-01,56,20,22,29,11,56,PM10,SEDANG,DKI4
2011-02-02,60,18,29,45,16,60,PM10,SEDANG,DKI4
2011-02-03,50,16,24,48,12,50,PM10,BAIK,DKI4
2011-02-04,49,16,27,42,16,49,PM10,BAIK,DKI4
2011-02-05,56,14,44,51,19,56,PM10,SEDANG,DKI4
2011-02-06,38,15,21,38,16,38,PM10,BAIK,DKI4
2011-02-07,51,16,24,37,16,51,PM10,SEDANG,DKI4
2011-02-08,57,17,38,53,18,57,PM10,SEDANG,DKI4
2011-02-09,55,19,30,70,22,70,O3,SEDANG,DKI4
2011-02-10,73,18,38,64,21,73,PM10,SEDANG,DKI4
2011-02-11,78,21,55,99,24,99,O3,SEDANG,DKI4
2011-02-12,81,17,79,85,18,85,O3,SEDANG,DKI3
2011-02-13,71,18,34,97,16,97,O3,SEDANG,DKI3
